OrderID,ProductID,Date,Revenue,Region
2025-00001,P002,2025-06-28,1312.35,IT
2025-00002,P011,2025-12-25,2720.35,IT
2025-00003,P005,2025-11-07,625.48,DE
2025-00004,P009,2025-10-20,2365.34,UK
2025-00005,P001,2025-03-07,1518.88,FR
2025-00006,P005,2025-12-11,2989.1,IT
2025-00007,P003,2025-08-17,2867.4,IT
2025-00008,P011,2025-10-04,760.66,DE
2025-00009,P003,2025-12-04,2114.73,FR
2025-00010,P007,2025-01-15,522.69,ES
2025-00011,P007,2025-05-24,700.11,ES
2025-00012,P011,2025-09-01,2856.94,FR
2025-00013,P011,2025-03-11,2772.07,IT
2025-00014,P002,2025-12-21,1031.76,DE
2025-00015,P010,2025-11-04,240.77,ES
2025-00016,P007,2025-07-15,1979.06,UK
2025-00017,P007,2025-04-30,709.47,FR
2025-00018,P005,2025-02-14,378.58,ES
2025-00019,P012,2025-10-31,2814.77,FR
2025-00020,P010,2025-07-08,425.88,ES
2025-00021,P007,2025-10-23,2223.91,ES
2025-00022,P001,2025-10-30,1630.03,IT
2025-00023,P007,2025-06-13,2325.28,DE
2025-00024,P009,2025-12-06,1824.77,DE
2025-00025,P002,2025-07-22,77.11,IT
2025-00026,P006,2025-03-16,2457.64,ES
2025-00027,P004,2025-09-13,2055.94,DE
2025-00028,P010,2025-05-26,480.32,FR
2025-00029,P010,2025-06-13,961.23,FR
2025-00030,P005,2025-12-28,1743.22,DE
2025-00031,P008,2025-05-30,2127.21,IT
2025-00032,P001,2025-06-20,500.47,DE
2025-00033,P012,2025-04-26,2116.2,FR
2025-00034,P003,2025-09-07,2195.82,ES
2025-00035,P011,2025-03-23,2973.64,UK
2025-00036,P007,2025-06-22,1296.19,IT
2025-00037,P006,2025-07-20,1203.64,UK
2025-00038,P012,2025-05-25,882.97,DE
2025-00039,P012,2025-10-08,1211.63,DE
2025-00040,P006,2025-10-25,2604.27,FR
2025-00041,P012,2025-06-05,1399.72,DE
2025-00042,P010,2025-03-12,1353.56,IT
2025-00043,P005,2025-03-16,668.81,DE
2025-00044,P012,2025-11-30,76.94,UK
2025-00045,P002,2025-12-14,2367.22,DE
2025-00046,P007,2025-08-07,2054.36,DE
2025-00047,P001,2025-02-19,1098.97,IT
2025-00048,P003,2025-01-27,396.17,UK
2025-00049,P011,2025-06-23,1800.51,DE
2025-00050,P011,2025-07-26,772.75,FR
2025-00051,P004,2025-07-23,1491.45,UK
2025-00052,P003,2025-12-01,2248.34,FR
2025-00053,P008,2025-11-29,1177.2,IT
2025-00054,P006,2025-01-06,404.0,FR
2025-00055,P002,2025-09-08,1942.16,UK
2025-00056,P004,2025-01-12,1781.21,UK
2025-00057,P008,2025-05-21,2096.49,FR
2025-00058,P010,2025-04-03,1182.68,IT
2025-00059,P005,2025-10-20,419.45,ES
2025-00060,P002,2025-10-03,595.43,FR
2025-00061,P007,2025-10-12,2461.52,UK
2025-00062,P008,2025-02-02,1580.76,UK
2025-00063,P009,2025-11-30,416.06,DE
2025-00064,P011,2025-03-02,582.96,UK
2025-00065,P012,2025-04-03,65.71,IT
2025-00066,P006,2025-03-04,165.47,UK
2025-00067,P004,2025-12-01,525.57,UK
2025-00068,P005,2025-01-18,299.6,FR
2025-00069,P009,2025-06-02,1122.5,UK
2025-00070,P003,2025-08-05,2932.45,FR
2025-00071,P004,2025-06-03,186.19,UK
2025-00072,P005,2025-12-04,1625.6,DE
2025-00073,P010,2025-09-09,2100.55,UK
2025-00074,P006,2025-11-07,1637.72,DE
2025-00075,P012,2025-02-20,2004.72,FR
2025-00076,P004,2025-01-19,604.82,ES
2025-00077,P004,2025-03-10,1826.33,DE
2025-00078,P010,2025-07-03,868.32,UK
2025-00079,P007,2025-02-08,1672.05,ES
2025-00080,P007,2025-11-29,2715.8,IT
2025-00081,P008,2025-02-12,2836.98,IT
2025-00082,P012,2025-03-15,1630.92,FR
2025-00083,P011,2025-05-18,2986.31,DE
2025-00084,P012,2025-07-10,1712.74,UK
2025-00085,P010,2025-03-25,1288.08,DE
2025-00086,P006,2025-08-11,1167.88,UK
2025-00087,P004,2025-02-09,846.87,UK
2025-00088,P002,2025-12-17,1667.69,FR
2025-00089,P006,2025-11-24,312.47,ES
2025-00090,P005,2025-03-16,2613.12,DE
