Section,Ventes_2024
OrderID,ProductID,Date,Revenue,Region
1001,P021,2023-01-01,5297.58,FR
1002,P034,2023-01-01,2336.72,FR
1003,P004,2023-01-01,11160.35,FR
1004,P028,2023-01-01,6501.48,FR
1005,P025,2023-01-01,4784.04,FR
1006,P020,2023-01-02,4312.68,FR
1007,P015,2023-01-02,4242.04,FR
1008,P036,2023-01-02,2157.16,FR
1009,P016,2023-01-02,4041.42,FR
1010,P029,2023-01-03,440.28,FR
1011,P018,2023-01-03,4778.3,FR
1012,P013,2023-01-03,11968.35,FR
1013,P022,2023-01-04,581.33,FR
1014,P008,2023-01-04,6519.84,FR
1015,P014,2023-01-04,490.94,FR
1016,P019,2023-01-04,8304.28,FR
1017,P024,2023-01-05,1063.96,FR
1018,P031,2023-01-05,7421.91,FR
1019,P021,2023-01-05,1765.86,FR
1020,P010,2023-01-05,6079.29,FR
1021,P010,2023-01-05,6079.29,FR
1022,P016,2023-01-06,10103.55,FR
1023,P032,2023-01-06,5596.08,FR
1024,P023,2023-01-06,426.56,FR
1025,P035,2023-01-06,798.9,FR
1026,P004,2023-01-06,2232.07,FR
1027,P015,2023-01-06,4242.04,FR
1028,P033,2023-01-06,6328.47,FR
1029,P031,2023-01-07,9895.88,FR
1030,P035,2023-01-07,3195.6,FR
1031,P034,2023-01-07,1752.54,FR
1032,P033,2023-01-07,8437.96,FR
1033,P007,2023-01-07,161.88,FR
1034,P034,2023-01-07,1752.54,FR
1035,P006,2023-01-07,2233.28,FR
1036,P016,2023-01-07,4041.42,FR
1037,P003,2023-01-08,7380.52,FR
1038,P036,2023-01-08,539.29,FR
1039,P011,2023-01-08,8069.84,FR
1040,P007,2023-01-09,80.94,FR
1041,P031,2023-01-09,2473.97,FR
1042,P018,2023-01-09,4778.3,FR
1043,P021,2023-01-09,3531.72,FR
1044,P026,2023-01-09,2804.7,FR
1045,P025,2023-01-10,7973.4,FR
1046,P009,2023-01-10,562.79,FR
1047,P007,2023-01-10,161.88,FR
1048,P026,2023-01-10,2804.7,FR
1049,P029,2023-01-11,880.56,FR
1050,P025,2023-01-11,3189.36,FR
1051,P019,2023-01-11,2076.07,FR
1052,P010,2023-01-11,4052.86,FR
1053,P024,2023-01-11,265.99,FR
1054,P024,2023-01-12,797.97,FR
1055,P006,2023-01-12,2233.28,FR
1056,P036,2023-01-12,2157.16,FR
1057,P006,2023-01-12,2791.6,FR
1058,P021,2023-01-12,1765.86,FR
1059,P025,2023-01-12,1594.68,FR
1060,P011,2023-01-13,8069.84,FR
1061,P018,2023-01-13,2866.98,FR
1062,P005,2023-01-13,4253.92,FR
1063,P020,2023-01-13,2156.34,FR
1064,P016,2023-01-13,8082.84,FR
1065,P007,2023-01-13,242.82,FR
1066,P022,2023-01-13,2325.32,FR
1067,P028,2023-01-14,8126.85,FR
1068,P021,2023-01-14,3531.72,FR
1069,P012,2023-01-14,2581.56,FR
1070,P032,2023-01-14,2798.04,FR
1071,P018,2023-01-14,2866.98,FR
1072,P035,2023-01-15,3994.5,FR
1073,P030,2023-01-15,842.12,FR
1074,P005,2023-01-15,4253.92,FR
1075,P020,2023-01-15,6469.02,FR
1076,P025,2023-01-16,6378.72,FR
1077,P026,2023-01-16,4674.5,FR
1078,P003,2023-01-16,9225.65,FR
1079,P016,2023-01-16,6062.13,FR
1080,P003,2023-01-16,7380.52,FR
1081,P007,2023-01-16,80.94,FR
1082,P034,2023-01-17,2920.9,FR
1083,P024,2023-01-17,1063.96,FR
1084,P002,2023-01-17,698.45,FR
1085,P006,2023-01-17,1116.64,FR
1086,P022,2023-01-17,1162.66,FR
1087,P031,2023-01-17,9895.88,FR
1088,P005,2023-01-17,1063.48,FR
1089,P007,2023-01-18,161.88,FR
1090,P012,2023-01-18,1721.04,FR
1091,P028,2023-01-18,3250.74,FR
1092,P012,2023-01-18,3442.08,FR
1093,P013,2023-01-18,11968.35,FR
1094,P014,2023-01-19,736.41,FR
1095,P007,2023-01-19,161.88,FR
1096,P013,2023-01-19,2393.67,FR
1097,P034,2023-01-20,1752.54,FR
1098,P026,2023-01-20,934.9,FR
1099,P030,2023-01-20,842.12,FR
1100,P006,2023-01-20,1116.64,FR
1101,P016,2023-01-20,2020.71,FR
1102,P010,2023-01-20,8105.72,FR
1103,P025,2023-01-21,3189.36,FR
1104,P035,2023-01-21,1597.8,FR
1105,P019,2023-01-21,4152.14,FR
