OrderID,Date,Revenue
2024-ORD-00001,2024-12-28,445.88
2024-ORD-00002,2024-04-06,1152.21
2024-ORD-00003,2024-08-25,763.04
2024-ORD-00004,2024-02-22,126.59
2024-ORD-00005,2024-09-02,1392.97
2024-ORD-00006,2024-09-03,1158.31
2024-ORD-00007,2024-12-25,1808.66
2024-ORD-00008,2024-05-19,2072.04
2024-ORD-00009,2024-06-01,70.62
2024-ORD-00010,2024-03-03,1225.35
2024-ORD-00011,2024-09-22,622.17
2024-ORD-00012,2024-11-30,381.28
2024-ORD-00013,2024-04-08,2345.28
2024-ORD-00014,2024-06-19,818.57
2024-ORD-00015,2024-05-27,954.78
2024-ORD-00016,2024-12-20,337.38
2024-ORD-00017,2024-10-19,1248.68
2024-ORD-00018,2024-10-24,2719.03
2024-ORD-00019,2024-03-31,862.45
2024-ORD-00020,2024-07-13,2052.29
2024-ORD-00021,2024-03-19,983.69
2024-ORD-00022,2024-09-25,718.53
2024-ORD-00023,2024-07-26,1768.71
2024-ORD-00024,2024-08-08,794.69
2024-ORD-00025,2024-12-11,806.67
2024-ORD-00026,2024-10-11,338.69
2024-ORD-00027,2024-07-31,345.44
2024-ORD-00028,2024-06-04,1123.8
2024-ORD-00029,2024-04-20,2910.08
2024-ORD-00030,2024-12-06,2981.93
2024-ORD-00031,2024-06-08,2011.49
2024-ORD-00032,2024-01-15,1764.44
2024-ORD-00033,2024-08-05,1502.23
2024-ORD-00034,2024-03-19,2427.06
2024-ORD-00035,2024-03-04,2229.14
2024-ORD-00036,2024-11-19,1102.12
2024-ORD-00037,2024-07-29,854.55
2024-ORD-00038,2024-09-19,725.07
2024-ORD-00039,2024-03-02,686.88
2024-ORD-00040,2024-05-08,2661.66
2024-ORD-00041,2024-11-03,2213.47
2024-ORD-00042,2024-03-04,2864.57
2024-ORD-00043,2024-02-24,1713.4
2024-ORD-00044,2024-04-12,2139.16
2024-ORD-00045,2024-10-23,520.71
2024-ORD-00046,2024-12-12,2240.11
2024-ORD-00047,2024-07-21,1838.03
2024-ORD-00048,2024-04-25,1001.58
2024-ORD-00049,2024-09-03,1292.45
2024-ORD-00050,2024-05-21,1047.3
2024-ORD-00051,2024-08-07,611.69
2024-ORD-00052,2024-11-20,926.67
2024-ORD-00053,2024-05-10,2133.73
2024-ORD-00054,2024-06-22,1055.16
2024-ORD-00055,2024-03-02,637.3
2024-ORD-00056,2024-05-08,2566.29
2024-ORD-00057,2024-12-02,2556.16
2024-ORD-00058,2024-12-23,2135.76
2024-ORD-00059,2024-02-21,212.85
2024-ORD-00060,2024-01-01,1411.33
2024-ORD-00061,2024-05-22,66.34
2024-ORD-00062,2024-11-25,1338.64
2024-ORD-00063,2024-11-18,1537.93
2024-ORD-00064,2024-11-02,2967.91
2024-ORD-00065,2024-10-03,117.25
2024-ORD-00066,2024-05-05,62.88
2024-ORD-00067,2024-05-08,284.52
2024-ORD-00068,2024-06-02,153.19
2024-ORD-00069,2024-05-27,834.6
2024-ORD-00070,2024-03-05,587.39
2024-ORD-00071,2024-01-06,2918.15
2024-ORD-00072,2024-04-07,1869.29
2024-ORD-00073,2024-06-24,2311.57
2024-ORD-00074,2024-06-01,2622.63
2024-ORD-00075,2024-01-23,549.27
2024-ORD-00076,2024-02-12,1555.04
2024-ORD-00077,2024-05-22,963.62
2024-ORD-00078,2024-04-21,2806.32
2024-ORD-00079,2024-10-27,1349.06
2024-ORD-00080,2024-03-27,2511.67
2024-ORD-00081,2024-04-21,435.78
2024-ORD-00082,2024-05-02,2253.8
2024-ORD-00083,2024-06-24,2459.24
2024-ORD-00084,2024-06-15,1873.76
2024-ORD-00085,2024-06-20,105.37
2024-ORD-00086,2024-09-03,987.83
2024-ORD-00087,2024-06-16,1687.21
2024-ORD-00088,2024-04-21,2381.3
2024-ORD-00089,2024-12-20,903.07
2024-ORD-00090,2024-06-02,532.04
2024-ORD-00091,2024-11-05,1239.95
2024-ORD-00092,2024-02-14,2635.84
2024-ORD-00093,2024-06-29,2476.41
2024-ORD-00094,2024-04-11,2271.12
2024-ORD-00095,2024-09-21,720.6
2024-ORD-00096,2024-03-08,1728.02
2024-ORD-00097,2024-11-07,2401.74
2024-ORD-00098,2024-11-04,807.1
2024-ORD-00099,2024-04-20,402.38
2024-ORD-00100,2024-01-28,1588.36
