OrderID,OrderDate,ProductID,CustomerID,Quantity,Revenue,Cost,Channel
2024-00001,2024-05-21,P009,C003,5,245.05,171.0,Online
2024-00002,2024-02-13,P004,C185,4,3525.08,1741.16,Store
2024-00003,2024-10-11,P004,C177,4,3525.08,1741.16,Phone
2024-00004,2024-12-30,P008,C115,1,738.24,393.22,Online
2024-00005,2024-05-30,P004,C104,2,1762.54,870.58,Store
2024-00006,2024-12-05,P010,C095,4,921.92,437.2,Phone
2024-00007,2024-09-28,P006,C109,5,588.5,417.0,Store
2024-00008,2024-06-29,P012,C117,3,3174.54,2048.88,Store
2024-00009,2024-05-08,P004,C031,2,1762.54,870.58,Store
2024-00010,2024-03-02,P012,C138,2,2116.36,1365.92,Online
2024-00011,2024-04-20,P012,C124,3,3174.54,2048.88,Phone
2024-00012,2024-10-28,P009,C153,3,147.03,102.6,Online
2024-00013,2024-04-09,P005,C059,3,3072.84,2122.59,Online
2024-00014,2024-06-03,P001,C182,5,5795.45,2866.0,Online
2024-00015,2024-05-20,P001,C014,5,5795.45,2866.0,Store
2024-00016,2024-12-23,P003,C164,4,2351.76,1299.24,Online
2024-00017,2024-01-07,P010,C073,4,921.92,437.2,Store
2024-00018,2024-08-13,P006,C048,1,117.7,83.4,Store
2024-00019,2024-09-01,P002,C017,4,3890.88,2289.24,Store
2024-00020,2024-02-07,P010,C162,1,230.48,109.3,Online
2024-00021,2024-03-17,P010,C078,1,230.48,109.3,Online
2024-00022,2024-03-01,P009,C196,4,196.04,136.8,Phone
2024-00023,2024-11-01,P010,C058,5,1152.4,546.5,Store
2024-00024,2024-08-18,P008,C077,5,3691.2,1966.1,Store
2024-00025,2024-06-05,P010,C159,1,230.48,109.3,Phone
2024-00026,2024-02-20,P004,C161,2,1762.54,870.58,Store
2024-00027,2024-12-04,P002,C041,2,1945.44,1144.62,Online
2024-00028,2024-10-09,P002,C041,1,972.72,572.31,Store
2024-00029,2024-08-18,P012,C153,4,4232.72,2731.84,Store
2024-00030,2024-01-17,P004,C074,3,2643.81,1305.87,Phone
2024-00031,2024-08-20,P002,C176,2,1945.44,1144.62,Store
2024-00032,2024-11-16,P010,C170,2,460.96,218.6,Store
2024-00033,2024-02-28,P009,C058,2,98.02,68.4,Store
2024-00034,2024-03-13,P002,C016,2,1945.44,1144.62,Store
2024-00035,2024-10-31,P012,C146,3,3174.54,2048.88,Store
2024-00036,2024-03-04,P008,C177,3,2214.72,1179.66,Phone
2024-00037,2024-07-25,P005,C129,5,5121.4,3537.65,Store
2024-00038,2024-08-12,P002,C154,1,972.72,572.31,Store
2024-00039,2024-06-14,P010,C065,1,230.48,109.3,Online
2024-00040,2024-04-27,P011,C148,5,4802.15,2492.9,Online
2024-00041,2024-12-10,P005,C148,1,1024.28,707.53,Online
2024-00042,2024-08-28,P009,C167,4,196.04,136.8,Store
2024-00043,2024-04-02,P010,C112,4,921.92,437.2,Online
2024-00044,2024-08-28,P006,C105,3,353.1,250.2,Store
2024-00045,2024-12-09,P002,C042,3,2918.16,1716.93,Store
2024-00046,2024-12-21,P008,C074,4,2952.96,1572.88,Phone
2024-00047,2024-01-19,P008,C023,3,2214.72,1179.66,Store
2024-00048,2024-06-14,P002,C198,4,3890.88,2289.24,Phone
2024-00049,2024-01-01,P011,C139,4,3841.72,1994.32,Store
2024-00050,2024-01-28,P004,C133,3,2643.81,1305.87,Phone
2024-00051,2024-09-12,P011,C114,1,960.43,498.58,Online
2024-00052,2024-05-16,P009,C034,3,147.03,102.6,Store
2024-00053,2024-12-23,P008,C032,1,738.24,393.22,Phone
2024-00054,2024-11-07,P004,C182,2,1762.54,870.58,Store
2024-00055,2024-10-09,P001,C142,4,4636.36,2292.8,Online
2024-00056,2024-04-25,P002,C119,1,972.72,572.31,Phone
2024-00057,2024-03-19,P008,C184,3,2214.72,1179.66,Phone
2024-00058,2024-12-27,P005,C107,4,4097.12,2830.12,Store
2024-00059,2024-05-04,P008,C142,2,1476.48,786.44,Store
2024-00060,2024-04-07,P010,C131,2,460.96,218.6,Online
2024-00061,2024-05-21,P007,C088,5,1519.9,855.15,Store
2024-00062,2024-01-02,P005,C186,3,3072.84,2122.59,Phone
2024-00063,2024-10-23,P011,C126,2,1920.86,997.16,Store
2024-00064,2024-10-02,P008,C089,3,2214.72,1179.66,Phone
